Attendance,Country (WorldCups),Fourth,Runners-Up,Third,Winner,Year (WorldCups),GoalsScored,MatchesPlayed,QualifiedTeams
590.549,Uruguay,Yugoslavia,Argentina,USA,Uruguay,1930,70,18,13
363,Italy,Austria,Czechoslovakia,Germany,Italy,1934,70,17,16
375.7,France,Sweden,Hungary,Brazil,Italy,1938,84,18,15
1.045.246,Brazil,Spain,Brazil,Sweden,Uruguay,1950,88,22,13
768.607,Switzerland,Uruguay,Hungary,Austria,Germany FR,1954,140,26,16
819.81,Sweden,Germany FR,Sweden,France,Brazil,1958,126,35,16
893.172,Chile,Yugoslavia,Czechoslovakia,Chile,Brazil,1962,89,32,16
1.563.135,England,Soviet Union,Germany FR,Portugal,England,1966,89,32,16
1.603.975,Mexico,Uruguay,Italy,Germany FR,Brazil,1970,95,32,16
1.865.753,Germany,Brazil,Netherlands,Poland,Germany FR,1974,97,38,16
1.545.791,Argentina,Italy,Netherlands,Brazil,Argentina,1978,102,38,16
2.109.723,Spain,France,Germany FR,Poland,Italy,1982,146,52,24
2.394.031,Mexico,Belgium,Germany FR,France,Argentina,1986,132,52,24
2.516.215,Italy,England,Argentina,Italy,Germany FR,1990,115,52,24
3.587.538,USA,Bulgaria,Italy,Sweden,Brazil,1994,141,52,24
2.785.100,France,Netherlands,Brazil,Croatia,France,1998,171,64,32
2.705.197,Korea/Japan,Korea Republic,Germany,Turkey,Brazil,2002,161,64,32
3.359.439,Germany,Portugal,France,Germany,Italy,2006,147,64,32
3.178.856,South Africa,Uruguay,Netherlands,Germany,Spain,2010,145,64,32
3.386.810,Brazil,Brazil,Argentina,Netherlands,Germany,2014,171,64,32
